NORAD ID,COSPAR ID,Name,Source,Period,Inclination (deg),Apogee (km),Perigee (km),Eccentric,Radar Cross Section,Size,A/M,Orbit Memo,Launch Time,Deacy Time,Is Active Satellite,Decay?,Debris?,Rocket?
"40294","2014-068A","NAVSTAR 72 (USA 258)","US","718.02","54.97","20,210","20,156","0.00","0.00","0.00","","","2014-10-29","","true","false","false","false"
"40292","2014-067A","PROGRESS-M 25M","CIS","92.65","51.65","408","401","0.00","0.00","0.00","","","2014-10-29","","true","false","false","false"
"40286","2014-066A","SJ-11-08","PRC","98.60","98.22","699","684","0.00","0.00","0.00","","","2014-10-27","","true","false","false","false"
"40277","2014-064A","EXPRESS AM-6","CIS","1,439.85","0.50","37,083","34,637","0.03","0.00","0.00","","","2014-10-21","","true","false","false","false"
"40275","2014-063A","YAOGAN 22","PRC","109.48","100.33","1,207","1,198","0.00","0.00","0.00","","","2014-10-20","","true","false","false","false"
"40272","2014-062B","ARSAT 1","ARGN","1,436.08","0.04","35,795","35,777","0.00","0.00","0.00","","","2014-10-16","","true","false","false","false"
"40271","2014-062A","INTELSAT 30","ITSO","1,436.10","0.02","35,797","35,776","0.00","0.00","0.00","","","2014-10-16","","true","false","false","false"
"40269","2014-061A","IRNSS 1C","IND","1,436.14","4.77","35,882","35,693","0.00","0.00","0.00","","","2014-10-15","","true","false","false","false"
"40267","2014-060A","HIMAWARI 8","JPN","1,436.11","0.03","35,792","35,782","0.00","0.00","0.00","","","2014-10-07","","true","false","false","false"
"40261","2014-059A","SJ-11-07","PRC","98.62","98.11","702","683","0.00","0.00","0.00","","","2013-12-30","","true","false","false","false"
"40258","2014-058A","LUCH (OLYMP)","CIS","1,437.58","0.02","35,885","35,747","0.00","0.00","0.00","","","2013-12-30","","true","false","false","false"
"40246","2014-057A","SOYUZ-TMA 14M","CIS","92.65","51.65","408","401","0.00","0.00","0.00","","","2013-12-30","","true","false","false","false"
"40208","2014-055A","USA 257","US","","","","","","0.00","0.00","","NO ELEMENTS AVAILABLE","2013-12-30","","true","false","false","false"
"40147","2014-054B","MEASAT 3B","MALA","1,436.09","0.03","35,799","35,774","0.00","0.00","0.00","","","2013-12-30","","true","false","false","false"
"40146","2014-054A","OPTUS 10","AUS","1,436.11","0.02","35,800","35,774","0.00","0.00","0.00","","","2013-12-30","","true","false","false","false"
"40144","2014-053B","TIANTUO 2","PRC","94.20","97.40","490","470","0.00","0.00","0.00","","","2013-12-30","","true","false","false","false"
"40143","2014-053A","YAOGAN 21","PRC","94.42","97.40","500","482","0.00","0.00","0.00","","","2013-12-30","","true","false","false","false"
"40141","2014-052A","ASIASAT 6","AC","1,436.09","0.01","35,790","35,783","0.00","0.00","0.00","","","2013-12-30","","true","false","false","false"
"40140","1998-067FF","FLOCK 1B 17","US","90.81","51.63","317","311","0.00","0.00","0.00","","","1998-11-20","","true","false","false","false"
"40137","2014-051B","CHUANG XIN 1-04","PRC","100.74","98.46","810","777","0.00","0.00","0.00","","","2013-12-30","","true","false","false","false"
"40136","2014-051A","LING QIAO","PRC","100.73","98.45","809","778","0.00","0.00","0.00","","","2013-12-30","","true","false","false","false"
"40133","1998-067FC","FLOCK 1B 8","US","90.91","51.63","322","316","0.00","0.00","0.00","","","1998-11-20","","true","false","false","false"
"40132","1998-067FB","FLOCK 1B 2","US","91.11","51.63","332","326","0.00","0.00","0.00","","","1998-11-20","","true","false","false","false"
"40129","2014-050B","GALILEO 6 (262)","ESA","705.11","49.77","25,918","13,810","0.23","0.00","0.00","","","2013-12-30","","true","false","false","false"
"40128","2014-050A","GALILEO 5 (261)","ESA","776.19","49.73","25,966","17,232","0.16","0.00","0.00","","","2013-12-30","","true","false","false","false"
"40125","1998-067EX","FLOCK 1B 25","US","87.59","51.61","160","150","0.00","0.00","0.00","","","1998-11-20","","true","false","false","false"
"40123","1998-067EV","FLOCK 1B 23","US","90.90","51.63","323","315","0.00","0.00","0.00","","","1998-11-20","","true","false","false","false"
"40122","1998-067EU","FLOCK 1B 24","US","91.28","51.63","339","335","0.00","0.00","0.00","","","1998-11-20","","true","false","false","false"
"40119","2014-049B","BRITE-PL 2","POL","97.09","98.00","633","607","0.00","0.00","0.00","","","2013-12-30","","true","false","false","false"
"40118","2014-049A","GAOFEN 2","PRC","97.25","98.00","635","619","0.00","0.00","0.00","","","2013-12-30","","true","false","false","false"
"40115","2014-048A","WORLDVIEW 3","US","96.98","97.97","615","612","0.00","0.00","0.00","","","2013-12-30","","true","false","false","false"
"40111","2014-047C","YAOGAN 20C","PRC","107.05","63.40","1,105","1,076","0.00","0.00","0.00","","","2013-12-30","","true","false","false","false"
"40110","2014-047B","YAOGAN 20B","PRC","107.05","63.40","1,104","1,076","0.00","0.00","0.00","","","2013-12-30","","true","false","false","false"
"40109","2014-047A","YAOGAN 20A","PRC","107.05","63.40","1,104","1,076","0.00","0.00","0.00","","","2013-12-30","","true","false","false","false"
"40107","2014-046A","ASIASAT 8","AC","1,436.10","0.03","35,794","35,779","0.00","0.00","0.00","","","2013-12-30","","true","false","false","false"
"40105","2014-045A","NAVSTAR 71 (USA 256)","US","717.98","54.91","20,187","20,177","0.00","0.00","0.00","","","2013-12-30","","true","false","false","false"
"40103","2014-044A","ATV 5","ESA","92.65","51.65","408","401","0.00","0.00","0.00","","","2014-07-29","","true","false","false","false"
"40101","2014-043C","USA 255","US","","","","","","0.00","0.00","","NO ELEMENTS AVAILABLE","2014-07-28","","true","false","false","false"
"40100","2014-043B","USA 254","US","","","","","","0.00","0.00","","NO ELEMENTS AVAILABLE","2014-07-28","","true","false","false","false"
"40099","2014-043A","USA 253","US","","","","","","0.00","0.00","","NO ELEMENTS AVAILABLE","2014-07-28","","true","false","false","false"
"40091","2014-040F","ORBCOMM FM 103","US","99.13","47.01","727","706","0.00","0.00","0.00","","","2014-07-14","","true","false","false","false"
"40090","2014-040E","ORBCOMM FM 104","US","99.13","47.01","730","703","0.00","0.00","0.00","","","2014-07-14","","true","false","false","false"
"40089","2014-040D","ORBCOMM FM 111","US","97.60","47.01","670","617","0.00","0.00","0.00","","","2014-07-14","","true","false","false","false"
"40088","2014-040C","ORBCOMM FM 106","US","99.13","47.01","733","701","0.00","0.00","0.00","","","2014-07-14","","true","false","false","false"
"40087","2014-040B","ORBCOMM FM 107","US","99.13","47.01","735","698","0.00","0.00","0.00","","","2014-07-14","","true","false","false","false"
"40086","2014-040A","ORBCOMM FM 109","US","99.13","47.01","728","705","0.00","0.00","0.00","","","2014-07-14","","true","false","false","false"
"40082","2014-038D","O3B FM8","O3B","287.93","0.04","8,071","8,061","0.00","0.00","0.00","","","2014-07-10","","true","false","false","false"
"40081","2014-038C","O3B FM6","O3B","287.93","0.04","8,070","8,062","0.00","0.00","0.00","","","2014-07-10","","true","false","false","false"
"40080","2014-038B","O3B FM7","O3B","287.93","0.04","8,070","8,062","0.00","0.00","0.00","","","2014-07-10","","true","false","false","false"
"40079","2014-038A","O3B FM3","O3B","287.93","0.04","8,072","8,059","0.00","0.00","0.00","","","2014-07-10","","true","false","false","false"
"40076","2014-037H","TDS 1","UK","97.25","98.37","631","623","0.00","0.00","0.00","","","2014-06-30","","false","false","false","false"
"40075","2014-037G","AISSAT 2","NOR","97.23","98.37","630","622","0.00","0.00","0.00","","","2014-06-30","","true","false","false","false"
"40074","2014-037F","UKUBE 1","UK","97.20","98.38","628","622","0.00","0.00","0.00","","","2014-06-30","","true","false","false","false"
"40073","2014-037E","DUMMY SAT","CIS","97.28","98.37","632","625","0.00","0.00","0.00","","","2014-06-30","","true","false","false","false"
"40072","2014-037D","SKYSAT 2","US","97.28","98.37","633","624","0.00","0.00","0.00","","","2014-06-30","","true","false","false","false"
"40071","2014-037C","DX 1","CIS","97.29","98.37","635","624","0.00","0.00","0.00","","","2014-06-30","","true","false","false","false"
"40070","2014-037B","MKA PN2 (RELEK)","CIS","99.21","98.35","819","623","0.01","0.00","0.00","","","2014-06-30","","true","false","false","false"
"40069","2014-037A","METEOR M2","CIS","101.37","98.78","827","819","0.00","0.00","0.00","","","2014-06-30","","true","false","false","false"
"40063","2014-036C","GONETS M 10 (M20)","CIS","115.86","82.51","1,511","1,478","0.00","0.00","0.00","","","2014-07-03","","true","false","false","false"
"40062","2014-036B","GONETS M 09 (M19)","CIS","115.86","82.51","1,511","1,478","0.00","0.00","0.00","","","2014-07-03","","true","false","false","false"
"40061","2014-036A","GONETS M 08 (M18)","CIS","115.86","82.51","1,517","1,472","0.00","0.00","0.00","","","2014-07-03","","true","false","false","false"
"40059","2014-035A","OCO 2","US","98.83","98.22","703","702","0.00","0.00","0.00","","","2014-07-02","","true","false","false","false"
"40057","2014-034E","VELOX 1","SING","97.62","98.23","652","637","0.00","0.00","0.00","","","2014-06-30","","true","false","false","false"
"40056","2014-034D","NLS 7.2/CANX 5","CA","97.71","98.23","659","639","0.00","0.00","0.00","","","2014-06-30","","true","false","false","false"
"40055","2014-034C","NLS 7.1/CANX 4","CA","97.71","98.23","659","639","0.00","0.00","0.00","","","2014-06-30","","true","false","false","false"
"40054","2014-034B","AISAT","GER","97.66","98.23","656","638","0.00","0.00","0.00","","","2014-06-30","","true","false","false","false"
"40053","2014-034A","SPOT 7","FR","98.73","98.18","699","697","0.00","0.00","0.00","","","2014-06-30","","true","false","false","false"
"40049","2014-033AR","SL-24 PLAT","CIS","96.91","97.98","619","602","0.00","0.00","0.00","","","2014-06-19","","false","false","false","false"
"40046","2014-033AN","AEROCUBE 6B","US","97.78","97.96","694","611","0.01","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40045","2014-033AM","AEROCUBE 6A","US","97.79","97.96","695","611","0.01","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40044","2014-033AL","LEMUR 1","US","97.78","97.96","694","610","0.01","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40043","2014-033AK","TIGRISAT","IRAQ","97.77","97.96","695","609","0.01","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40042","2014-033AJ","POLYITAN 1","UKR","96.93","97.97","622","601","0.00","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40041","2014-033AH","FLOCK 1C 3","US","96.86","97.97","617","599","0.00","0.00","0.00","","","2014-06-19","","false","false","false","false"
"40040","2014-033AG","FLOCK 1C 8","US","96.85","97.97","617","599","0.00","0.00","0.00","","","2014-06-19","","false","false","false","false"
"40039","2014-033AF","PERSEUS M1","CIS","96.98","97.97","623","605","0.00","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40038","2014-033AE","FLOCK 1C 5","US","96.86","97.97","618","599","0.00","0.00","0.00","","","2014-06-19","","false","false","false","false"
"40037","2014-033AD","PERSEUS M2","CIS","96.95","97.97","622","603","0.00","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40036","2014-033AC","FLOCK 1C 6","US","96.85","97.97","616","600","0.00","0.00","0.00","","","2014-06-19","","false","false","false","false"
"40035","2014-033AB","FLOCK 1C 9","US","96.86","97.97","616","600","0.00","0.00","0.00","","","2014-06-19","","false","false","false","false"
"40034","2014-033AA","ANTELSAT","URY","97.81","97.96","697","612","0.01","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40033","2014-033Z","FLOCK 1C 11","US","96.85","97.97","617","599","0.00","0.00","0.00","","","2014-06-19","","false","false","false","false"
"40032","2014-033Y","QB50P2","BEL","96.90","97.96","618","602","0.00","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40031","2014-033X","FLOCK 1C 4","US","96.86","97.97","618","598","0.00","0.00","0.00","","","2014-06-19","","false","false","false","false"
"40030","2014-033W","DTUSAT 2","DEN","96.90","97.96","618","602","0.00","0.00","0.00","","","2014-06-19","","false","false","false","false"
"40029","2014-033V","FLOCK 1C 2","US","96.86","97.97","618","598","0.00","0.00","0.00","","","2014-06-19","","false","false","false","false"
"40028","2014-033U","POPSAT HIP 1","SING","96.89","97.97","619","600","0.00","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40027","2014-033T","FLOCK 1C 1","US","96.86","97.97","617","599","0.00","0.00","0.00","","","2014-06-19","","false","false","false","false"
"40026","2014-033S","FLOCK 1C 7","US","96.86","97.97","616","600","0.00","0.00","0.00","","","2014-06-19","","false","false","false","false"
"40025","2014-033R","QB50P1","BEL","96.88","97.96","617","601","0.00","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40024","2014-033Q","NANOSAT C BR1","BRAZ","96.86","97.96","616","600","0.00","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40023","2014-033P","FLOCK 1C 10","US","96.86","97.97","617","599","0.00","0.00","0.00","","","2014-06-19","","false","false","false","false"
"40022","2014-033N","PACE","ROC","96.88","97.96","618","600","0.00","0.00","0.00","","","2014-06-19","","false","false","false","false"
"40021","2014-033M","DUCHIFAT 1","ISRA","96.84","97.97","616","598","0.00","0.00","0.00","","","2014-06-19","","false","false","false","false"
"40020","2014-033L","BRITE TORONTO","CA","98.24","97.95","737","613","0.01","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40019","2014-033K","APRIZESAT 10","US","98.20","97.95","732","613","0.01","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40018","2014-033J","APRIZESAT 9","US","98.00","97.95","714","613","0.01","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40017","2014-033H","TABLETSAT AURORA","CIS","96.61","97.98","613","579","0.00","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40016","2014-033G","SAUDISAT 4","SAUD","97.65","97.96","680","613","0.00","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40015","2014-033F","HODOYOSHI 3","JPN","97.47","97.96","664","612","0.00","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40014","2014-033E","BUGSAT 1","ARGN","96.47","97.98","613","567","0.00","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40013","2014-033D","DEIMOS 2","SPN","97.06","97.95","618","618","0.00","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40012","2014-033C","UNISAT 6","IT","97.81","97.96","696","612","0.01","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40011","2014-033B","HODOYOSHI 4","JPN","97.30","97.97","648","611","0.00","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40010","2014-033A","KAZEOSAT 2","KAZ","97.17","97.97","635","611","0.00","0.00","0.00","","","2014-06-19","","true","false","false","false"
"40001","2014-032A","COSMOS 2500 (GLONASS)","CIS","675.73","64.85","19,149","19,111","0.00","0.00","0.00","","","2014-06-14","","true","false","false","false"
"39773","2014-030A","EUTE 3B","EUTE","1,436.10","0.05","35,802","35,771","0.00","0.00","0.00","","","2014-05-26","","true","false","false","false"
"39770","2014-029E","SPROUT","JPN","97.08","97.87","625","613","0.00","0.00","0.00","","","2014-05-24","","true","false","false","false"
"39769","2014-029D","RISING 2","JPN","97.23","97.88","629","624","0.00","0.00","0.00","","","2014-05-24","","true","false","false","false"
"39768","2014-029C","SOCRATES","JPN","97.11","97.87","625","616","0.00","0.00","0.00","","","2014-05-24","","true","false","false","false"
"39767","2014-029B","UNIFORM 1","JPN","97.16","97.87","626","619","0.00","0.00","0.00","","","2014-05-24","","true","false","false","false"
"39766","2014-029A","ALOS 2","JPN","97.33","97.92","632","630","0.00","0.00","0.00","","","2014-05-24","","true","false","false","false"
"39765","2014-028E","COSMOS 2499","CIS","112.19","82.44","1,504","1,151","0.02","0.00","0.00","","","2014-05-23","","false","false","false","false"
"39763","2014-028C","COSMOS 2498","CIS","115.86","82.45","1,512","1,477","0.00","0.00","0.00","","","2014-05-23","","true","false","false","false"
"39762","2014-028B","COSMOS 2497","CIS","115.86","82.45","1,511","1,478","0.00","0.00","0.00","","","2014-05-23","","true","false","false","false"
"39761","2014-028A","COSMOS 2496","CIS","115.86","82.44","1,510","1,479","0.00","0.00","0.00","","","2014-05-23","","true","false","false","false"
"39751","2014-027A","USA 252","US","","","","","","0.00","0.00","","NO ELEMENTS AVAILABLE","2014-05-22","","true","false","false","false"
"39741","2014-026A","NAVSTAR 70 (USA 251)","US","717.98","55.10","20,193","20,171","0.00","0.00","0.00","","","2014-05-17","","true","false","false","false"
"39731","2014-024A","KAZEOSAT 1","KAZ","99.86","98.50","753","751","0.00","0.00","0.00","","","2014-04-30","","true","false","false","false"
"39728","2014-023B","KAZSAT 3","KAZ","1,436.13","0.05","35,790","35,785","0.00","0.00","0.00","","","2014-04-28","","true","false","false","false"
"39727","2014-023A","LUCH 5V","CIS","1,436.07","4.31","35,798","35,775","0.00","0.00","0.00","","","2014-04-28","","true","false","false","false"
"39678","2014-021A","EGYPTSAT 2","EGYP","99.05","51.62","714","713","0.00","0.00","0.00","","","2014-04-16","","true","false","false","false"
"39652","2014-020A","USA 250","US","","","","","","0.00","0.00","","NO ELEMENTS AVAILABLE","2014-04-10","","true","false","false","false"
"39650","2014-019A","OFEQ 10","ISRA","","","","","","0.00","0.00","","&quot;,","2014-03-31","","true","false","false","false"
"39635","2014-017A","IRNSS 1B","IND","1,436.07","30.56","35,864","35,708","0.00","0.00","0.00","","","2014-04-04","","true","false","false","false"
"39634","2014-016A","SENTINEL 1A","ESA","98.68","98.18","697","695","0.00","0.00","0.00","","","2014-04-03","","true","false","false","false"
"39630","2014-015A","DMSP 5D-3 F19 (USA 249)","US","","","","","","0.00","0.00","","&quot;,","2014-04-03","","true","false","false","false"
"39624","2014-014A","SJ-11-06","PRC","98.67","98.22","704","686","0.00","0.00","0.00","","","2014-03-31","","true","false","false","false"
"39620","2014-012A","COSMOS 2492 (GLONASS)","CIS","675.73","64.91","19,170","19,090","0.00","0.00","0.00","","","2014-03-23","","true","false","false","false"
"39617","2014-011B","ASTRA 5B","SES","1,436.11","0.04","35,798","35,775","0.00","0.00","0.00","","","2014-03-22","","true","false","false","false"
"39616","2014-011A","AMAZONAS 4A","SPN","1,436.10","0.04","35,804","35,770","0.00","0.00","0.00","","","2014-03-22","","true","false","false","false"
"39613","2014-010B","EXPRESS AT2","CIS","1,436.12","0.05","35,789","35,785","0.00","0.00","0.00","","","2014-03-15","","false","false","false","false"
"39612","2014-010A","EXPRESS AT1","CIS","1,436.07","0.04","35,787","35,785","0.00","0.00","0.00","","","2014-03-15","","true","false","false","false"
"39574","2014-009C","GPM","JPN","92.55","65.02","405","394","0.00","0.00","0.00","","","2014-02-27","","true","false","false","false"
"39533","2014-008A","NAVSTAR 69 (USA 248)","US","717.95","54.84","20,208","20,155","0.00","0.00","0.00","","","2014-02-21","","true","false","false","false"
"39522","2014-007A","TURKSAT 4A","TURK","1,436.05","0.07","35,805","35,766","0.00","0.00","0.00","","","2014-02-14","","true","false","false","false"
"39509","2014-006B","ATHENA-FIDUS","FRIT","1,436.06","0.01","35,791","35,781","0.00","0.00","0.00","","","2014-02-06","","true","false","false","false"
"39508","2014-006A","ABS 2","PRC","1,436.10","0.06","35,799","35,774","0.00","0.00","0.00","","","2014-02-06","","true","false","false","false"
"39504","2014-004A","TDRS 12","US","1,436.08","6.77","35,793","35,780","0.00","0.00","0.00","","","2014-01-24","","true","false","false","false"
"39500","2014-002A","THAICOM 6","THAI","1,436.11","0.06","35,789","35,785","0.00","0.00","0.00","","","2014-01-06","","true","false","false","false"
"39498","2014-001A","GSAT 14","IND","1,436.09","0.09","35,805","35,768","0.00","0.00","0.00","","","2014-01-05","","true","false","false","false"
"39497","2013-076E","COSMOS 2491","CIS","115.88","82.48","1,509","1,482","0.00","0.00","0.00","-0.01","","2013-12-25","","false","false","false","false"
"39492","2013-078C","AIST 1","CIS","96.87","82.42","624","594","0.00","0.00","0.00","0.01","","2013-12-28","","true","false","false","false"
"39491","2013-078B","COSMOS 2494 (SKRL 756)","CIS","96.78","82.42","621","588","0.00","0.00","0.00","0.01","","2013-12-28","","false","false","false","false"
"39490","2013-078A","COSMOS 2493 (SKRL 756)","CIS","96.86","82.42","622","595","0.00","0.00","0.00","0.01","","2013-12-28","","false","false","false","false"
"39487","2013-077A","EXPRESS AM-5","CIS","1,436.11","0.03","35,791","35,782","0.00","0.00","0.00","","","2013-12-26","","true","false","false","false"
"39485","2013-076C","COSMOS 2490","CIS","115.86","82.48","1,511","1,477","0.00","0.00","0.00","0.02","","2013-12-25","","true","false","false","false"
"39484","2013-076B","COSMOS 2489","CIS","115.86","82.48","1,512","1,477","0.00","0.00","0.00","2.05","","2013-12-25","","true","false","false","false"
"39483","2013-076A","COSMOS 2488","CIS","115.86","82.48","1,510","1,479","0.00","0.00","0.00","-0.02","","2013-12-25","","true","false","false","false"
"39481","2013-075A","TKSAT 1","BOL","1,436.13","0.01","35,800","35,775","0.00","0.00","0.00","","","2013-12-20","","true","false","false","false"
"39479","2013-074A","GAIA","ESA","","","","","","0.00","0.00","","L2 LAGRANGIAN ORBIT","2013-12-19","","false","false","false","false"
"39476","2013-073A","INMARSAT 5-F1","IM","1,436.08","0.01","35,787","35,785","0.00","0.00","0.00","","","2013-11-30","","true","false","false","false"
"39474","2013-072N","SMDC ONE 2.3","US","","","","","","0.00","0.00","","NO ELEMENTS AVAILABLE","2013-12-06","","true","false","false","false"
"39473","2013-072M","TACSAT 6","US","","","","","","0.00","0.00","","NO ELEMENTS AVAILABLE","2013-12-06","","true","false","false","false"
"39472","2013-072L","SMDC ONE 2.4","US","","","","","","0.00","0.00","","NO ELEMENTS AVAILABLE","2013-12-06","","true","false","false","false"
"39471","2013-072K","IPEX","US","","","","","","0.00","0.00","","NO ELEMENTS AVAILABLE","2013-12-06","","true","false","false","false"
"39470","2013-072J","CUNYSAT-1","US","","","","","","0.00","0.00","","NO ELEMENTS AVAILABLE","2013-12-06","","true","false","false","false"
"39469","2013-072H","MCUBED-2","US","","","","","","0.00","0.00","","NO ELEMENTS AVAILABLE","2013-12-06","","false","false","false","false"
"39468","2013-072G","SNAP-3","US","","","","","","0.00","0.00","","NO ELEMENTS AVAILABLE","2013-12-06","","true","false","false","false"
"39467","2013-072F","ALICE","US","","","","","","0.00","0.00","","NO ELEMENTS AVAILABLE","2013-12-06","","true","false","false","false"
"39466","2013-072E","AEROCUBE 5B","US","","","","","","0.00","0.00","","NO ELEMENTS AVAILABLE","2013-12-06","","true","false","false","false"
"39465","2013-072D","AEROCUBE 5A","US","","","","","","0.00","0.00","","NO ELEMENTS AVAILABLE","2013-12-06","","true","false","false","false"
